weltwissen-300-jahre-wissenschaften-berlin-ausstellungskatalog|Hennig, Jochen/Andraschke, Udo (Hg.) (2010):WeltWissen. 300 Jahre Wissenschaften in Berlin, Ausstellungskatalog.München: Hirmer.
painting-target|Franz, Nina (2016):Painting the Target.In: Bildwelten des Wissens. Kunsthistorisches Jahrbuch für Bildkritik, Bd. 12: Image Guidance. Bedingungen bildgeführter Operation. Berlin: De Gruyter, S. 96–97.
im-supermarkt-der-bilder|Bruhn, Matthias (2013):Im Supermarkt der Bilder.In: Emmanuel Alloa, Francesca Falk (Hg.): BildÖkonomie. Haushalten mit Sichtbarkeiten. München. S.133-149.
die-ordnung-des-wahns-zur-poetologie-psychiatrischen-wissens-bei-alfred-doblin|Schäffner, Wolfgang (1995):Die Ordnung des Wahns. Zur Poetologie psychiatrischen Wissens bei Alfred Döblin.München: Fink.
digital-turn-design-era-interactive-technologies|Barbara Junge/Zane Berzina/Walter Scheiffele/Wim Westerveld/Zwick, Carola (Hg.): The Digital Turn. Design in the Era of Interactive Technologies. Park Books, Zürich, 2013.
wissenschaft-und-sammlung|Brüning, Jochen (2003): Wissenschaft und Sammlung. In: Krämer, Sybille/Bredekamp, Horst (Hg.): Bild, Schrift, Zahl. München: Wilhelm Fink Verlag, S. 87–113.
sammlung-und-synthese|Brüning, Jochen (2007):Sammlung und Synthese. In: Helas, Philine/Polte, Maren/Rückert, Claudia/Uppenkamp, Bettina (Hg.): Bild/Geschichte. Festschrift für Horst Bredekamp. Berlin: Akademie Verlag, S. 101–108.
terminologie-ontologien-im-einsatz-uber-missverstandnisse-unter-experten-und-methoden-zu-einem-besseren-verstehen|Stein, Christian (2012):Terminologie- Ontologien im Einsatz: Über Missverständnisse unter Experten und Methoden zu einem besseren Verstehen.In: 12. Fachtagung EKA - Entwurf komplexer Automatisierungssysteme, Magdeburg: ifak.
literatur-werkzeuge-uber-den-sinnvollen-einsatz-von-computertechnologien-der-literaturwissenschaft|Stein, Christian (2010):Literatur-Werkzeuge. Über den sinnvollen Einsatz von Computertechnologien in der Literaturwissenschaft.In: Zeitschrift für Literaturwissenschaft und Linguistik, Jg. 40, H. 157, S. 124-133.
temporal-order-judgment-visual-and-auditory-stimuli-modulations-situations-and-without-stimulus-discrimination|Hendrich, Elisabeth/Strobach, Tilo/Buss, Martin/Müller, Hermann J./Schubert, Torsten (2012): Temporal-order judgment of visual and auditory stimuli: Modulations in situations with and without stimulus discrimination. In: Frontiers in Integrative Neuroscience, vol. 6, p. 63. doi: 10.3389/fnint.2012.00063.
"basilica-opimia-basilica-porcia|Bartz , Jessica/Horacek, S. (2014): »Basilica Opimia«; »Basilica Porcia«. Einträge auf der Webseite des Projektes »Digitales Forum Romanum«."
museum|Bauche, Manuela (2015): Museum. In: Bahl, Eva/Bergh, Sarah u.a. i. A. der Landeshauptstadt München (Hgs.): DECOLONIZE MÜNCHEN. Münster: edition assemblage, S. 188–199.
das-abc-der-bilder_2|Moritz Wullen (Hg.) (2007): Das ABC der Bilder. Berlin: Staatliche Museen zu Berlin.
jorg-trempler-im-innenraum-der-kristallkugel-wie-die-welt-zum-bild-wurde-zeitschrift-fur-ideengeschichte-2010-heft-v1-s-76-93|Jörg Trempler: Im Innenraum der Kristallkugel. Wie die Welt zum Bild wurde, in: Zeitschrift für Ideengeschichte, 2010, Heft V/1, S. 76-93.
reduction-sensitive-liposomes-multifunctional-lipid-conjugate-and-natural-phospholipids-reduction-and-release-kinetics-and|Reduction-sensitive liposomes from a multifunctional lipid conjugate and natural phospholipids: reduction and release kinetics and 
technical-image-history-styles-scientific-imagery|Bredekamp, Horst/Dünkel, Vera/Schneider, Birgit (Eds.) (2015):The Technical Image. A History of Styles in Scientific Imagery. Chicago: The Univ. of Chicago Press.
zwischen-grenzuberschreitung-und-deutungshoheit-interventionen-historischen-museen-ein-kommentar|Bauche, Manuela (2013): Zwischen Grenzüberschreitung und Deutungshoheit. Interventionen in historischen Museen. Ein Kommentar.In: Binder, Beate u.a. (Hg.): Eingreifen, Kritisieren, Verändern!? Interventionen ethnographisch und gendertheoretisch. Münster: Westfälisches Dampfboot, S. 254–260. 
epistemology-concrete-twentieth-century-histories-life|Rheinberger, Hans-Jörg (2010): An Epistemology of the Concrete. Twentieth-Century Histories of Life.London/Durham: Duke University Press.
da-costa-e-silva-tiago-und-meinerenken-jens-szenographien-des-wissens-uber-kreative-und-poietische-prozesse-2014|da Costa e Silva, Tiago und Meinerenken, Jens: Szenographien des Wissens: Über kreative und poietische Prozesse (2014)
versuchsanordnungen-1800|Vogl, Joseph/Schimma, Sabine (Hg.) (2009):Versuchsanordnungen 1800. Berlin: diaphanes.
uber-das-zaudern|Vogl, Joseph (2007):Über das Zaudern. Berlin: diaphanes.
unsterblich-der-kult-des-kunstlers|Völlnagel, Jörg/Wullen, Moritz (Hg.) (2008):Unsterblich! Der Kult des Künstlers. München: Hirmer.
grammatologie-der-bilder|Weigel, Sigrid (2015): Grammatologie der Bilder. Berlin: Suhrkamp.
austerlitz-1805-ein-monumentales-schlachtenpanorama-auf-tapete|Thümmler, Sabine (2007): Austerlitz 1805. Ein monumentales Schlachtenpanorama auf Tapete. Kassel: Museumslandschaft Hessen Kassel.
himmelsbild-i|Bösl, Angela (2011):Himmelsbild I. Einführung und Katalogtexte zur astronomischen Druckgraphik, 15.–19. Jahrhundert. In: Seidl, Ernst/Aumann, Philipp/Duerr, Frank (Hg.): Der Himmel. Wunschbild und Weltverständnis, Ausst.-Kat. Museum der Universität Tübingen. Tübingen: MUT, S. 55–65.
kunstlerische-anti-okonomien-der-zeit|Huss, Till Julian (2014):Künstlerische (Anti-)Ökonomien der Zeit.In: CRITIKA – Zeitschrift für Philosophie und Kunsttheorie, Nr. I/2014, S. 32–38. 
das-entgegenkommende-denken|Engel, Franz/Marienberg, Sabine (Hg.) (2015): Das Entgegenkommende denken.  Actus et Imago, Bd. 15. Berlin: De Gruyter.
f-kunze-katalogbeitrage-zu-arnold-bocklins-und-otto-lilienthals-flugstudien-dem-deutschen-worterbuch-von-jacob-und-wilhelm-grimm-sowie-der-fuhreruniversitat-bucherverbrennung-und-vertreibung-von-wissenschaftler_innen-wahrend-des-nationalsozialismus|F. Kunze: Katalogbeiträge zu Arnold Böcklins und Otto Lilienthals Flugstudien, dem Deutschen Wörterbuch von Jacob und Wilhelm Grimm sowie der Führeruniversität, Bücherverbrennung und Vertreibung von Wissenschaftler_innen während des Nationalsozialismus.
julia-meer-oder-oder-und-das-verhaltnis-von-kunst-und-design-praxis-und-erzahlung-christopher-ostereich-und-elina-knorpp-hg-querschnitte-kunst-design-und-architektur-im-blick-berlin-2013|Julia Meer: Oder oder und? – Das Verhältnis von Kunst und Design in Praxis und Erzählung. In: Christopher Östereich und Elina Knorpp (Hg.): Querschnitte – Kunst, Design und Architektur im Blick. Berlin: 2013.
nh-nguyen-vn-pham-m-hogge-jp-ponthot-assumed-natural-strain-technique-2d-solid-shell-elements-proceeding-4th-int-conference-advanced-computational-methods-engineering-acomen-2008|N.H. Nguyen, V.N. Pham, M. Hogge, J.P. Ponthot: An assumed natural strain technique for 2D solid-shell elements. Proceeding of 4th Int. Conference on Advanced Computational Methods in Engineering (ACOMEN 2008)
einfugen-als-kulturtechnik-die-architektur-wang-shus-und-lu-wenyus|Schramke, Sandra/Bock, Wolfgang (2015): Einfügen als Kulturtechnik. Die Architektur Wang Shus und Lu Wenyus. In: archimaera. architektur.kultur.kontext.online, Nr. 6, S. 51–62. 
fondos-bibliotecarios-en-movimiento-las-colecciones-digitales-del-instituto-ibero-americano-de-berlin|Müller, Christoph (2015): Fondos bibliotecarios en movimiento: las colecciones digitales del Instituto Ibero-Americano de Berlín. In: Meridional. Revista Chilena de Estudios Latinoamericanos, Nr. 5/2015, S. 103–107.
islands-benoit-mandelbrot-fractals-chaos-and-materiality-thinking_2|Nina Samuel (Hg.) (2012): The Islands of Benoît Mandelbrot. Fractals, Chaos, and the Materiality of Thinking.New Haven : Bard Graduate Center.
asthetik-im-zeichen-des-menschen-die-asthetische-vorgeschichte-der-symbolphilosophie-ernst-cassirers-und-die-symbolische-form-der-kunst|Marion Lauschke (2007): Ästhetik im Zeichen des Menschen. Die ästhetische Vorgeschichte der Symbolphilosophie Ernst Cassirers und die symbolische Form der Kunst. Hamburg: Meiner.
bewusst-unbewusst-uber-eva-von-platens-wald-und-flur-im-flur-wir-warten-der-galerie-wien-lukatsch-berlin|Drews, Ann-Cathrin (2012):»Bewusst – Unbewusst«. Über Eva von Platens In Wald und Flur/ Im Flur/ Wir Warten in der Galerie Wien Lukatsch, Berlin.In: Texte zur Kunst, Nr. 86, Jg. 2012, S. 219–221.
das-alternative-reality-spiel-ingress|Lilge, Thomas (2016):Das Alternative-Reality-Spiel »Ingress«.In: Bildwelten des Wissens. Kunsthistorisches Jahrbuch für Bildkritik, Bd. 12: Image Guidance. Bedingungen bildgeführter Operation. Berlin: De Gruyter, S. 98–101.
der-luxus-der-objektivitat-schaufenster-um-1914|Schuldenfrei, Robin (2016):Der Luxus der Objektivität: Schaufenster um 1914.In: Stierli, Martino (ed.): Kunst und Architektur an der Epochenschwelle. Das Hauptgebäude der Universität Zürich von 1914, Basel: Schwabe Verlag, pp. 153–196.
du-sollst-kapitalismus-als-religion-und-seine-performer|Lilge, Thomas (2012):Du sollst. Kapitalismus als Religion und seine Performer. Berlin: Merve Verlag.
digital-morphometry-potential-statistical-shape-models|Carl Martin Grewe, Hans Lamecker, Stefan Zachow (2011): Digital morphometry: The Potential of Statistical Shape Models. In: Anthropologischer Anzeiger. Journal of Biological and Clinical Anthropology, pp. 506-506, 2011.
infinite-folds-el-greco-and-deleuzes-operative-function-fold|Blümle, Claudia (2016):Infinite Folds: El Greco and Deleuze's Operative Function of the Fold.In: Friedman, Michael/Schäffner, Wolfgang (eds.): On Folding. Towards a New Field of Interdisciplinary Research. Bielefeld: transcript, pp. 77–91.
metamorphosen-am-himmel-victor-hugo-und-lukrez|Schiffler, Johanna (2012): Metamorphosen am Himmel. Victor Hugo und Lukrez. In: Feist, Ulrike/Rath, Markus: Et in imagine ego. Facetten von Bildakt und Verkörperung. Berlin: Akademie Verlag, S. 139–153.
wie-halt-minimales-zusammen-der-tragwerksplaner-mutsuro-sasaki|Rabe, Henrike (2010): Wie hält Minimales zusammen? Der Tragwerksplaner Mutsuro Sasaki.Interview in Bauwelt, Nr. 33.2010, und Singapore Architect, #259.
historische-epistemologie-zur-einfuhrung|Rheinberger, Hans-Jörg (2007):Historische Epistemologie zur Einführung. Hamburg: Junius.
k-zarembo-stefan-zieme-fine-structure-string-spectrum-ads_5-x-s5-jetp-lett-95-219-2012|K. Zarembo, Stefan Zieme: Fine Structure of String Spectrum in AdS_5 x S^5. In: JETP Lett. 95, 219 (2012).
c-sauer-raum-und-material-artikelserie-md-interior-i-design-i-architekture-konradin-verlag-2010-2015|C. Sauer: Raum und Material. Artikelserie in md - Interior I Design I Architekture, Konradin Verlag (2010 - 2015).  
kreative-problemlosungen|Schramke, Sandra (2011):Kreative Problemlösungen.In: Horizonte 03: Re-Definition. Architektur auf neuen Wegen. Weimar: Lucia Verlag.
things-are-changing-museums-and-material-turn|Mario Schulze (2014): Things are Changing. Museums and the Material Turn. In: Museological Review no. 18, vol. 2014. 
thorsten-beck-2008-die-bilder-im-kopf-sietar-journal-fur-interkulturelle-perspektiven|Thorsten Beck: (2008) Die Bilder im Kopf. In Sietar. Journal für interkulturelle Perspektiven.
thorsten-beck-typisch-klischees-von-juden-und-anderen-2008|Thorsten Beck: Typisch! Klischees von Juden und anderen. 2008.
judith-radlein-christine-schmid-die-etwas-andere-treppe-jerewans-kaskade-deutungen-eines-urbanen-monuments|Judith Rädlein, Christine Schmid: Die etwas andere Treppe – Jerewans Kaskade. Deutungen eines urbanen Monuments. 
einfach|Böhringer, Hannes/Hansen, Hans/Kufus, Axel (2009): Einfach. Berlin: Univ. der Künste.
das-chorgestuhl-der-wusterhausener-st-peter-und-paulskirche|Seliger, Anja (2011): Das Chorgestühl in der Wusterhausener St. Peter und Paulskirche.In: Bergstedt, Clemens u.a. (Hg.): Im Dialog mit Raubrittern und schönen Madonnen. Die Mark Brandenburg im späten Mittelalter. Begleitband zum Ausstellungsverbund »Raubritter und schöne Madonnen«. Berlin: Lukas-Verlag, S. 398–403.
bauhaus-and-back-globally-networked-virtual-factory|von Mende, Julia (2012): Bauhaus and back, The globally networked virtual »factory«. In: domus, no. 962, October issue_.
intimitat-und-medialitat-eine-anthropologie-der-medien|Schulze, Holger (2012): Intimität und Medialität. Eine Anthropologie der Medien. Berlin: AVINUS.
jahresdokumentation-2014|Jahresdokumentation 2014  
eames-die-wissenschaftlichen-grundlagen-der-informationsarchitektur-der-eames|Sandra Schramke:Eames. Die wissenschaftlichen Grundlagen der Informationsarchitektur der Eames.In: AIT - Architektur, Innenarchitektur, Technischer Ausbau, Jg. 117, Nr. 3, S. 156-159.
your-private-sky-r-buckminster-fuller-design-als-kunst-einer-wissenschaft|Krausse, Joachim/Lichtenstein, Claude (Hg.) (2000/2001): Your Private Sky: R. Buckminster Fuller. Design als Kunst einer Wissenschaft. 2 Bde. Ausst.-Kat. Museum für Gestaltung, Zürich. Baden: Müller Verlag.
grassmannian-integrals-matrix-models-non-compact-yangian-invariants|Kanning, Nils/Ko, Yumi/Staudacher, Matthias (2015):Graßmannian integrals as matrix models for non-compact Yangian invariantsIn: Nuclear Physics B 894, pp. 407–421.
learning-move-land|Nyakatura, John A. (2016):Learning to move on land.In: Science vol. 353, no. 6295, pp. 120–121. doi: 10.1126/science.aag1092.
heuristik-theorie-der-intentionalen-werkgenese|Schulze, Holger (2005): Heuristik. Theorie der intentionalen Werkgenese. Bielefeld: transcript.
kulturtheorien|Därmann, Iris (2011): Kulturtheorien. Hamburg: Junius.
figuren-des-politischen|Därmann, Iris (2009): Figuren des Politischen.Frankfurt a. M.: Suhrkamp.
transformations-public-sphere-and-their-impact-democratization|Eder, Klaus (2010): The Transformations of the Public Sphere and their Impact on Democratization. In: Pizzorno, Alessandro (ed.): Le trasformazioni dello Stato democratico. (Annali, 44). Milano: Feltrinelli, pp. 251–283. 
newton-methods-nonlinear-problems-affine-invariance-and-adaptive-algorithms|Deuflhard, Peter (2004):Newton Methods for Nonlinear Problems. Affine Invariance and Adaptive Algorithms. (Springer Series in Computational Mathematics, 35). Heidelberg: Springer. 
spatio-temporal-arrangement-different-tissues-during-bone-healing-result-simple-mechanobiological-rules|Vetter, A./Witt, F./Sander, O./Duda, G.N./Weinkamer, R. (2012): The Spatio-Temporal Arrangement of Different Tissues During Bone Healing as a Result of Simple Mechanobiological Rules.In: Biomechanics and Modeling in Mechanobiology. vol. 11, no. 1–2, pp. 147–160.
epistemologische-exkursionen-zu-den-sozialen-ursprungen-der-logik|Grube, Gernot (2014): Epistemologische Exkursionen. Zu den sozialen Ursprüngen der Logik.München: Wilhelm Fink. 
evolution-crabs-history-and-deconstruction-prime-example-convergence|Scholtz, Gerhard (2014):Evolution of Crabs – History and Deconstruction of a Prime Example of Convergence. In: Contributions to Zoology, no. 83, pp. 87–105.
koppers-l-maier-m-becker-m-benndorf-f-2012-zukunftsfahige-gesundheitsinfrastrukturen-fur-bayern-studie-fur-bundnis-90-die-grunen-im-bayerischen-landtag|Koppers, L., Maier, M., Becker, M., Benndorf, F, 2012. Zukunftsfähige Gesundheitsinfrastrukturen für Bayern, Studie für Bündnis 90 / Die Grünen im Bayerischen Landtag,
b-weber-e-m-tranfield-j-l-hoog-d-baum-c-antony-t-hyman-j-m-verbavatz-s-prohaska-automated-stitching-microtubule-centerlines-across-serial-electron-tomograms-plos-one-e113222-2014|B. Weber, E. M. Tranfield, J. L. Höög, D. Baum, C. Antony, T. Hyman, J.-M. Verbavatz, S. Prohaska: Automated stitching of microtubule centerlines across serial electron tomograms. In: PLoS ONE, e113222, 2014.
wie-geschichtlich-ist-vicos-mondo-civile|Trabant, Jürgen (2014):Wie »geschichtlich« ist Vicos mondo civile?In: Oesterreicher, Wulf/Selig, Maria (Hg.): Geschichtlichkeit von Sprache und Text. Philologien – Disziplingenese – Wissenschaftshistoriographie. Paderborn: Fink, S. 31–46.
bundesverband-deutscher-stiftungen-hg-archive-stiftungen-ein-wegweiser-berlin-2015|Bundesverband Deutscher Stiftungen (Hg.): Archive in Stiftungen. Ein Wegweiser. Berlin 2015
non-fundamental-group-equivalent-surfaces|Friedman, Michael/Teicher, Mina (2008):On non fundamental group equivalent surfaces.In: Algebraic & Geometric Topology, no. 8, 397–433.
paul-valery-and-geometry-instrument-writing-model-practice|Krauthausen, Karin (2010): Paul Valéry and Geometry: Instrument, Writing Model, Practice. In: Configurations, vol. 18, no. 3, pp. 231–249.
sarah-link-die-koordinierungsstelle-fur-wissenschaftliche-universitatssammlungen-deutschland-kulturbetrieb-012013-s-16-17|Sarah Link: Die Koordinierungsstelle für wissenschaftliche Universitätssammlungen in Deutschland, KulturBetrieb, 01/2013, S. 16-17
oliver-zauzig-david-ludwig-documentation-university-collections-germany-erittenhouse-242013|Oliver Zauzig, David Ludwig: The Documentation of University Collections in Germany, eRittenhouse, 24/2013
das-ornamentale-und-die-architektonische-form-systemtheoretische-irritationen|Dürfeld, Michael (2008):Das Ornamentale und die architektonische Form. Systemtheoretische Irritationen.Bielefeld: transcript.
universitatssammlungen-als-partner-der-museen|Cornelia Weber (2016): Universitätssammlungen als Partner der Museen.In: ICOM Deutschland – Mitteilungen 2016, Heft 38, S. 8–11.
vision-birds-coordination-head-bobbing-and-gait-stabilizes-vertical-head-position-quail|J.A. Nyakatura, E. Andrada (2014):On vision in birds: coordination of head-bobbing and gait stabilizes vertical head position in quail. In: Frontiers in Zoology, 2014, 11(1):27.
synthetische-realitat-und-blindflug-operationalisierung-der-wahrnehmung|Franz, Nina/Ladewig, Rebekka (2015):Synthetische Realität und Blindflug – Operationalisierung der WahrnehmungIn: Bruhn, Matthias/Doll, Nikola (Hg.): kritische berichte. Zeitschrift für Kunst- und Kulturwissenschaften, Jg. 43, H. 4, S. 95–104.
standortrevision-bibliotheken-mit-rfid-technologie|Weymann, Anna (2011): Standortrevision in Bibliotheken mit RFID-Technologie. In: Sieck, Jürgen (Hg.): Wireless Communication and Information. Digital Divide and Mobile Applications. Boizenburg: Verlag Werner Hülsbusch, S. 85–91.
aktiv-wie-nie-zuvor-universitatssammlungen-deutschland|Cornelia Weber (2016): Aktiv wie nie zuvor. Universitätssammlungen in Deutschland.In:  Magazin Aviso – Zeitschrift für Wissenschaft & Kunst in Bayern, Nr. 1/2016, S. 13–15.
zur-bedeutung-von-universitaren-sammlungen-bei-der-herausbildung-wissenschaftlicher-disziplinen|Weber, Cornelia (2014): Zur Bedeutung von universitären Sammlungen bei der Herausbildung wissenschaftlicher Disziplinen. In: Hassler, Uta/Meyer, Torsten (Hg.): Kategorien des Wissens. Die Sammlung als epistemisches Objekt. Zürich: vdf Hochschulverlag AG an der ETH Zürich, S. 179–192. 
lehrstuhl-digital-library-lehrstuhl-digitale-bibliothek-la-chaire-bibliotheques-numeriques|Seadle, Michael (2013): Lehrstuhl Digital Library / Lehrstuhl Digitale Bibliothek / La chaire bibliothèques numériques.In: Inf. Wiss. & Praxis, vol. 64 , iss. 2–3, pp. 107–114.
3d-code-folding-architecture-peter-eisenman|Schramke, Sandra (2016):3D Code: Folding in the Architecture of Peter Eisenman. In: Friedman, Michael/Schäffner, Wolfgang (eds): On Folding. Towards a New Field of Interdisciplinary Research. Bielefeld: transcript, pp. 115-138.
what-i-say-what-i-get-stronger-effects-self-generated-vs-cue-induced-expectations-event-related-potentials|Kemper, Maike/Umbach, V. J./Schwager, S./Gaschler, Robert/Frensch, Peter A./Stürmer, B. (2012):What I say is what I get: stronger effects of self-generated vs. cue-induced expectations in event-related potentials. In: Frontiers in psychology, vol. 3, p. 562.
adjustments-limb-mechanics-cotton-top-tamarins-moderate-and-steep-support-orientations-significance-understanding-early-primate-evolution|Hesse, Bettina/Nyakatura, John A./Fischer, Martin S./Schmidt, Manuela (2015): Adjustments of Limb Mechanics in Cotton-top Tamarins to Moderate and Steep Support Orientations: Significance for the Understanding of Early Primate Evolution. In: Journal of Mammalian Evolution, vol. 22, no. 3, pp. 435–450. doi:10.1007/s10914-014-9283-4
kulturen-nicht-betreten-anmerkungen-zur-kulturtechnik-informatik-spektrum-31-iss-1-berlin-u-2008|Kulturen – nicht betreten? Anmerkungen zur Kulturtechnik. In: Informatik Spektrum, 31, Iss. 1. Berlin u. a. 2008.
martin-warnke-wolfgang-coy-georg-christoph-tholen-hrsg-hyperkult-ii-zur-ortsbestimmung-analoger-und-digitaler-medien-bielefeld-2004|Martin Warnke, Wolfgang Coy, Georg Christoph Tholen (Hrsg.): HyperKult II? Zur Ortsbestimmung analoger und digitaler Medien. Bielefeld 2004.
bild-schrift-zahl|Bredekamp, Horst/Krämer, Sybille (Hg.) (2003): Bild, Schrift, Zahl. München: Wilhelm Fink Verlag.
new-approach-using-high-resolution-computed-tomography-test-buoyant-properties-chambered-cephalopod-shells|Lemanis, Robert/Zachow, Stefan/Fusseis, Florian/Hoffmann, René (2015): A New Approach Using High-Resolution Computed Tomography to Test the Buoyant Properties of Chambered Cephalopod Shells. In: Paleobiology, vol. 41, no. 2, pp. 313–329. doi:10.1017/pab.2014.17.
dingwelten-das-museum-als-erkenntnisort|te Heesen, Anke/Lutz, Petra (Hg.) (2005): Dingwelten. Das Museum als Erkenntnisort. Köln/Weimar/Wien: Böhlau.
bilder-bewegen-von-der-kunstkammer-zum-endspiel|Bredekamp, Horst (2007):Bilder bewegen. Von der Kunstkammer zum Endspiel. Aufsätze und Reden. Hg. v. Probst, Jörg. Berlin: Wagenbach Verlag.
nachbilder-der-natur-asthetische-wahrnehmung-der-wissenschaft|Bruhn, Matthias (2013):Nachbilder der Natur. Ästhetische Wahrnehmung in der Wissenschaft.In: Attempto! 34: Schönheit in der Wissenschaft. Grundlagen oder Beiwerk? Tübingen: Eberhard Karls Universität. S. 10-11.
rechnen-und-rechenmaschinen-als-kulturelle-grundlage-der-informationsgesellschaft|Coy, Wolfgang (2004):Rechnen und Rechenmaschinen als kulturelle Grundlage der Informationsgesellschaft. In: Brüning, Jochen/Knobloch, Eberhard  (Hg.): Die mathematischen Wurzeln der Kultur. München: Wilhelm Fink Verlag.
mathematik-und-modell|Brüning, Jochen (2008):Mathematik und Modell. In: Dirks, Ulrich/Knobloch, Eberhard  (Hg.): Modelle. Probleme und Perspektiven. Frankfurt a. M.: Peter Lang Verlag.
exponat|te Heesen, Anke (2015): Exponat. In: Gfrereis, Heike/Thiemeyer, Thomas/Tschofen, Bernhard (Hg.): Museen verstehen. Begriffe der Theorie und Praxis. Marbacher Schriften. Neue Folge, Bd. 1. Göttingen: Wallstein Verlag, S. 33–44.
polarity-pulsed-laser-deposited-zno-nanostructures|Kaebisch, Sven/Timpel, Melanie/Kirmse, Holm/Gluba, Marc A./Koch, Norbert/Nickel, Norbert H. (2016):Polarity of pulsed laser deposited ZnO nanostructures.In: Applied Physics Letters, vol. 108, no. 8. doi: 10.1063/1.4942887.
das-materielle-modell-objektgeschichten-aus-der-wissenschaftlichen-praxis|Weber, Cornelia/Ludwig, David/ Zauzig, Oliver (Hg.) (2014): Das materielle Modell. Objektgeschichten aus der wissenschaftlichen Praxis. Paderborn: Wilhelm Fink Verlag.
bildakt-warburg-institute|Marienberg, Sabine/Trabant, Jürgen (eds.) (2014): Bildakt at the Warburg Institute.Actus et imago, vol. 12. Berlin/Boston: De Gruyter.
wilhelm-von-humboldt-17671835|Trabant, Jürgen (2015): Wilhelm von Humboldt (1767–1835). In: Wright, James D. (ed.): International Encyclopedia of the Social and Behavioral Sciences, 2nd ed., vol. 25. Oxford: Elsevier, pp. 286–289.
mythos-babylon|Wullen, Moritz/Mahrzahn, Joachim (Hg.) (2008): Mythos Babylon. München: Hirmer.
literatur-als-voraussetzung-der-kulturgeschichte-schauplatze-von-shakespeare-bis-benjamin|Weigel, Sigrid (2004): Literatur als Voraussetzung der Kulturgeschichte. Schauplätze von Shakespeare bis Benjamin. München: Fink.
ermittlung-der-empirie-zu-ernst-machs-methode-des-gedankenexperiments_2|Krauthausen, Karin (2015):Ermittlung der Empirie. Zu Ernst Machs Methode des Gedankenexperiments. In: Berichte zur Wissenschaftsgeschichte, Jg. 38, Nr. 1: Special Issue: Bernhard Kleeberg (Hg.): Ernst Mach und das Gedankenexperiment um 1900, S. 15–40. doi: 10.1002/bewi.201501705.
morphologische-analysen-vegetabiler-ornamente-der-gotik-eine-interdisziplinare-annaherung-kunsthistorische-reihen|Seliger, Anja/Jirikowski, Günther/Scholtz, Gerhard (2015): Morphologische Analysen vegetabiler Ornamente der Gotik – eine interdisziplinäre Annäherung an kunsthistorische Reihen. In: Bredekamp, Horst/Schäffner, Wolfgang (Hg.): Haare hören – Strukturen wissen – Räume agieren. Berichte aus dem Interdisziplinären Labor »Bild Wissen Gestaltung«. Bielefeld: transcript, S. 61–78.
rediscovery-scientific-collections-material-heritage-case-university-collections-germany|Weber, Cornelia/Ludwig, David (2013): A rediscovery of scientific collections as material heritage? The case of university collections in Germany. In: Studies in History and Philosophy of Science, vol. 44, no. 4, pp. 652–659.
